City,Latitude,Longitude,Hotels,Places_to_visit
Bhadravati,20.1003,79.1146,hotels/181.json,
Bhagsu Nag,32.2465,76.3326,hotels/182.json,
Bhagani,30.4924,77.7395,hotels/183.json,
Bhagdara,22.327,75.7255,hotels/184.json,
Bhandara,21.1777,79.657,hotels/185.json,
Bhalukpong,27.0137,92.6345,hotels/186.json,
Bhairapur,16.4384,76.5806,hotels/187.json,
Bhalki,18.0504,77.2184,hotels/188.json,
Bhandardara,19.5375,73.7695,hotels/189.json,
Bharatpur,27.2152,77.503,hotels/190.json,
Bharmour,32.4428,76.5329,hotels/191.json,
Bharuch,21.7051,72.9959,hotels/192.json,
Bhatkal,13.9993,74.5408,hotels/193.json,
Bhavani,11.4471,77.684,hotels/194.json,
Bhavnagar,21.7645,72.1519,hotels/195.json,
Bhawanipatna,19.9074,83.1642,hotels/196.json,
Bhilai,21.1938,81.3509,hotels/197.json,
Bhilwara,25.3407,74.6313,hotels/198.json,
Bhildi,,,,
Bhimashankar,,,,
Bhimavaram,,,,
Bhimtal,,,,
Bhinar,,,,
Bhind,,,,
Bhitarkanika National Park,,,,
Bhiwadi,,,,
Bhiwandi,,,,
Bhiwani,,,,
Bhojpur,,,,
Bhopal,,,,
Bhowali,,,,
Bhubaneswar,,,,
Bhuj,,,,
Bhuvanagiri,,,,
Bhuntar,,,,
Bhusawal,,,,
Bidar,,,,
Bidadi,,,,
Bidarakatte,,,,
Bijapur,,,,
Bijolia,,,,
Bikaner,,,,
Bilaspur,,,,
Bikkavolu,,,,
Bilimora,,,,
Binsar,,,,
Birpara,,,,
Bir,,,,
Bishnupur,,,,
Bodh Gaya,,,,
Blathykavala,,,,
Bokakhat,,,,
Boisar,,,,
Bokaro Steel City,,,,
Bolpur,,,,
Bomdila,,,,
Bongaigaon,,,,
Bordi,,,,
Borsad,,,,
Brahmadesam,,,,
Borid,,,,
Brahmapur,,,,
Budhauli,,,,
Budaun,,,,
Buldana,,,,
Bulandshahr,,,,
Bundi,,,,
Burhanpur,,,,
Burdwan,,,,
Burwa,,,,
Buxar,,,,
Byndoor,,,,
Canning,,,,
Chaibasa,,,,
Chakrata,,,,
Chalakudy,,,,
Chamarajanagar,,,,
Chamba,,,,
Chamoli,,,,
Champaner,,,,
Champawat,,,,
Champhai,,,,
Chandannagar,,,,
Chamrajnagar,,,,
Chandauli,,,,
Chanderi,,,,
Chandigarh,,,,
Panchkula,,,,
Zirakpur,,,,
Ramgarh,,,,
Chandipur,,,,
Chandrapur,,,,
Chandragutti,,,,
Changanacherry,,,,
Changlang,,,,
Channapatna,,,,
Channarayapatna,,,,
Chapagaon,,,,
Chatra,,,,
Chaukori,,,,
Chelamattom part,,,,
Chendamangalam,,,,
Chengalpattu,,,,
Chengannur,,,,
Chennai,,,,
Vypin Island,,,,
Sohra,,,,
Cherthala,,,,
Cheyyar,,,,
Cheruthuruthi,,,,
Chettikulam,,,,
Chhatarpur,,,,
Chhachhrauli,,,,
Chhindwara,,,,
Chhatikara,,,,
Chidambaram,,,,
Chikhaldara,,,,
Chikkaballapur,,,,
Chikka Madhure,,,,
Chikmagalur,,,,
Halebid,,,,
Chinchoti,,,,
Chinnamanur,,,,
Chiplun,,,,
Chindi,,,,
Chinsurah,,,,
Chintamani,,,,
Chintpurni,,,,
Chirala,,,,
Chitkul,,,,
Chitradurga,,,,
Chitrakoot,,,,
Chittaurgarh,,,,
Chittoor,,,,
Chittorgarh,,,,
Chowara,,,,
Chopta,,,,
Chorla,,,,
Chorwad,,,,
Chundale,,,,
Chumathang,,,,
Churu,,,,
Chuntang,,,,
Churachandpur,,,,
Coimbatore,,,,
Cola,,,,
Cooch Behar,,,,
Contai,,,,
Coonoor,,,,
Courtallam,,,,
Covelong,,,,
Cuddalore,,,,
Cumbum,,,,
Cuttack,,,,
Maina,,,,
Dabaspete,,,,
Dabguli,,,,
Dabhoi,,,,
Dahanu,,,,
Dahod,,,,
Dakor,,,,
Dahej,,,,
Dalhousie,,,,
Daman,,,,
Daltonganj,,,,
Dandeli,,,,
Damoy,,,,
Danapur,,,,
Dapoli,,,,
Dandi,,,,
Dantewada,,,,
Darbhanga,,,,
Upper Subansiri District,,,,
Darjeeling,,,,
Darima,,,,
Datia,,,,
Dasanapura,,,,
Daulatabad,,,,
Dausa,,,,
Davanagere,,,,
Davangere,,,,
Dawki,,,,
Deeg,,,,
Dehgam,,,,
Deesa,,,,
Dehradun,,,,
Denkanikottai,,,,
Delwara,,,,
Deoghar,,,,
Deogarh,,,,
Deshnoke,,,,
Deoria,,,,
Deo,,,,
Devanhalli,,,,
Devadhanapatti,,,,
Devarayanadurga,,,,
Devikulam,,,,
Devipattinam,,,,
Devprayag,,,,
Dewas,,,,
Dhamtari,,,,
Dhali,,,,
Dhanaulti,,,,
Dhanbad,,,,
Dhankhar,,,,
Dharamkot,,,,
 Dharamshala ,,,,
McLeod Ganj,,,,
Tapovan,,,,
Jwalamukhi,,,,
Kangra,,,,
Khaniyara,,,,
Dharapuram,,,,
Dharchula,,,,
Dharmapuri,,,,
Dhari,,,,
Dharmasthala,,,,
Dhar,,,,
Dharuhera,,,,
Dhaulas,,,,
Dhaula Kuan,,,,
Dhenkanal,,,,
Dhemaji,,,,
Dholpur,,,,
Dhikuli,,,,
Dhubri,,,,
Dhule,,,,
Dibrugarh,,,,
Digboi,,,,
Digha,,,,
North Andaman Island,,,,
Dimapur,,,,
Dindigul,,,,
Dirang,,,,
Dindori,,,,
Diphu,,,,
Diskit,,,,
Dispur,,,,
Diu,,,,
Diveagar,,,,
Doddaballapur,,,,
Doda,,,,
Dombivli,,,,
Draksharama,,,,
Dongargarh,,,,
Dudhwa National Park,,,,
Dubrajpur,,,,
Duhka,,,,
Dumka,,,,
Dungarpur,,,,
Durgapur,,,,
Durg,,,,
Dwaraka Tirumala,,,,
Dwarka,,,,
Ellora,,,,
Dyathapura,,,,
Egatoor,,,,
Eluru,,,,
Erimayur-II,,,,
Erode,,,,
Eppodumvenran,,,,
Fagu,,,,
Ezhome,,,,
Faizabad,,,,
Etawah,,,,
Faridabad,,,,
Falna,,,,
Farakka,,,,
Faridkot,,,,
