City,Latitude,Longitude,Hotels,Places_to_visit,hotel_process,new_file_paths,hotel_final
Araku Valley,18.3222,82.8802,hotels/75.json,,75_short.json,hotels/preprocessed_75_short.json,hotels/preprocessed_75_short.json
Aragonda,13.2813,78.9564,hotels/76.json,,,,
Arakkonam,13.0841,79.6704,hotels/77.json,,77_short.json,hotels/preprocessed_77_short.json,hotels/preprocessed_77_short.json
Aritar,27.1879,88.6748,hotels/78.json,,78_short.json,hotels/preprocessed_78_short.json,hotels/preprocessed_78_short.json
Arayankavu,9.8332,76.423,hotels/79.json,,79_short.json,hotels/preprocessed_79_short.json,hotels/preprocessed_79_short.json
Ariyurnadu,11.2896,78.3899,hotels/80.json,,80_short.json,hotels/preprocessed_80_short.json,hotels/preprocessed_80_short.json
Ariyankuppam,11.8958,79.8046,hotels/81.json,,81_short.json,hotels/preprocessed_81_short.json,hotels/preprocessed_81_short.json
Aronda,15.7356,73.7176,hotels/82.json,,82_short.json,hotels/preprocessed_82_short.json,hotels/preprocessed_82_short.json
Arki,31.1521,76.9686,hotels/83.json,,83_short.json,hotels/preprocessed_83_short.json,hotels/preprocessed_83_short.json
Asansol,23.6889,86.9661,hotels/84.json,,84_short.json,hotels/preprocessed_84_short.json,hotels/preprocessed_84_short.json
Athirappilly,10.2908,76.5156,hotels/85.json,,85_short.json,hotels/preprocessed_85_short.json,hotels/preprocessed_85_short.json
Astakatti,15.094,75.0524,hotels/86.json,,,,
Athipotta,10.6698,76.4823,hotels/87.json,,87_short.json,hotels/preprocessed_87_short.json,hotels/preprocessed_87_short.json
Auli,30.5289,79.5703,hotels/88.json,,88_short.json,hotels/preprocessed_88_short.json,hotels/preprocessed_88_short.json
Attingal,8.6982,76.8137,hotels/89.json,,89_short.json,hotels/preprocessed_89_short.json,hotels/preprocessed_89_short.json
Joshimath,30.5561,79.5617,hotels/90.json,,90_short.json,hotels/preprocessed_90_short.json,hotels/preprocessed_90_short.json
Aurangabad,19.8762,75.3433,hotels/91.json,,91_short.json,hotels/preprocessed_91_short.json,hotels/preprocessed_91_short.json
Auroville,12.0052,79.8069,hotels/92.json,,92_short.json,hotels/preprocessed_92_short.json,hotels/preprocessed_92_short.json
Ausa,18.2505,76.4997,hotels/93.json,,93_short.json,hotels/preprocessed_93_short.json,hotels/preprocessed_93_short.json
Awantipora,33.9218,75.0139,hotels/94.json,,94_short.json,hotels/preprocessed_94_short.json,hotels/preprocessed_94_short.json
Avakali,17.9327,73.7037,hotels/95.json,,95_short.json,hotels/preprocessed_95_short.json,hotels/preprocessed_95_short.json
Ayodhya,26.7922,82.1998,hotels/96.json,,96_short.json,hotels/preprocessed_96_short.json,hotels/preprocessed_96_short.json
Aversa,20.5937,78.9629,hotels/97.json,,97_short.json,hotels/preprocessed_97_short.json,hotels/preprocessed_97_short.json
Ayyampuzha,10.2279,76.6182,hotels/98.json,,,,
Azheekal,9.1213,76.4722,hotels/99.json,,99_short.json,hotels/preprocessed_99_short.json,hotels/preprocessed_99_short.json
Baba Bakala,31.5601,75.2625,hotels/100.json,,100_short.json,hotels/preprocessed_100_short.json,hotels/preprocessed_100_short.json
Azhikode,11.9171,75.3354,hotels/101.json,,101_short.json,hotels/preprocessed_101_short.json,hotels/preprocessed_101_short.json
Azamgarh,26.0739,83.1859,hotels/102.json,,102_short.json,hotels/preprocessed_102_short.json,hotels/preprocessed_102_short.json
Badami,15.9186,75.6761,hotels/103.json,,103_short.json,hotels/preprocessed_103_short.json,hotels/preprocessed_103_short.json
Badgam,33.9349,74.64,hotels/104.json,,104_short.json,hotels/preprocessed_104_short.json,hotels/preprocessed_104_short.json
Badlapur,19.1668,73.2368,hotels/105.json,,105_short.json,hotels/preprocessed_105_short.json,hotels/preprocessed_105_short.json
Badrinath,30.7433,79.4938,hotels/106.json,,106_short.json,hotels/preprocessed_106_short.json,hotels/preprocessed_106_short.json
Bagalkot,16.1691,75.6615,hotels/107.json,,107_short.json,hotels/preprocessed_107_short.json,hotels/preprocessed_107_short.json
Bagdogra,26.6986,88.3117,hotels/108.json,,108_short.json,hotels/preprocessed_108_short.json,hotels/preprocessed_108_short.json
Bageshwar,29.8404,79.7694,hotels/109.json,,109_short.json,hotels/preprocessed_109_short.json,hotels/preprocessed_109_short.json
Baghpat,28.9428,77.2276,hotels/110.json,,110_short.json,hotels/preprocessed_110_short.json,hotels/preprocessed_110_short.json
Bagru,26.8078,75.5402,hotels/111.json,,111_short.json,hotels/preprocessed_111_short.json,hotels/preprocessed_111_short.json
Bahraich,27.5705,81.5977,hotels/112.json,,112_short.json,hotels/preprocessed_112_short.json,hotels/preprocessed_112_short.json
